Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY REGION AND SELECTED COUNTRY OF LAST RESIDENCE: FISCAL YEARS 1820 TO 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,,Region and country of last residence 1,     Total,Europe," Austria-Hungary 2, 3, 4 ","   Austria 2, 4",   Hungary 2,Belgium,Bulgaria 5 ,Czechoslovakia 6,Denmark,Finland  ,France 7,"Germany 3, 4",Greece,Ireland 8,Italy,Netherlands,Norway-Sweden 9,   Norway 9,   Sweden 9,Poland 3,Portugal 10 ,Romania ,"Russia 3, 11",Spain 12,Switzerland,"United Kingdom 8,13",Yugoslavia 14,Other Europe,Asia,China,Hong Kong ,India,Iran ,Israel ,Japan ,Jordan ,Korea 15,Philippines ,Syria ,Taiwan ,Turkey,Vietnam ,Other Asia,America,"Canada and Newfoundland 16, 17","Mexico 17,18",Caribbean,Cuba ,Dominican Republic ,Haiti ,Jamaica 19,Other Caribbean 19,Central America,Belize ,Costa Rica ,El Salvador ,Guatemala ,Honduras ,Nicaragua ,Panama 20,Other Central America ,South America,Argentina ,Bolivia ,Brazil ,Chile ,Colombia ,Ecuador ,Guyana ,Paraguay ,Peru ,Suriname ,Uruguay ,Venezuela ,Other South America ,Other America 21,Africa,Egypt ,Ethiopia ,Liberia ,Morocco ,South Africa ,Other Africa,Oceania,Australia ,New Zealand ,Other Oceania,"Not Specified 21, 22"
     Total,"128,502","538,381","1,427,337","2,814,554","2,081,261","2,742,137","5,248,568","3,694,294","8,202,388","6,347,380","4,295,510","699,375","856,608","2,499,268","3,213,749","4,248,203","6,244,379","9,775,398","10,299,430","1,042,625",,1820 to 1829,"128,502","99,272",-,-,-,28,-,-,173,-,"7,694","5,753",17,"51,617",430,"1,105",91,-,-,19,177,-,86,"2,595","3,148","26,336",-,3,34,3,-,9,-,-,-,-,-,-,-,-,19,-,3,"9,655","2,297","3,835","3,061",-,-,-,-,"3,061",57,-,-,-,-,-,-,-,57,405,-,-,-,-,-,-,-,-,-,-,-,-,405,-,15,-,-,1,-,-,14,3,2,-,1,"19,523"
Europe,"99,272","422,771","1,369,259","2,619,680","1,877,726","2,251,878","4,638,677","3,576,411","7,572,569","4,985,411","2,560,340","444,399","472,524","1,404,973","1,133,443","825,590","668,866","1,348,612","1,348,904","95,379",,1830 to 1839,"538,381","422,771",-,-,-,20,-,-,927,-,"39,330","124,726",49,"170,672","2,225","1,377","1,149",-,-,366,820,-,280,"2,010","4,430","74,350",-,40,55,8,-,38,-,-,-,-,-,-,-,-,8,-,1,"31,905","11,875","7,187","11,792",-,-,-,-,"11,792",94,-,-,-,-,-,-,-,94,957,-,-,-,-,-,-,-,-,-,-,-,-,957,-,50,-,-,8,-,-,42,7,1,-,6,"83,593"
" Austria-Hungary 2, 3, 4 ",-,-,-,-,"3,375","60,127","314,787","534,059","2,001,376","1,154,727","60,891","12,531","13,574","113,015","27,590","20,387","20,437","27,529","33,929","4,325",,1840 to 1849,"1,427,337","1,369,259",-,-,-,"3,996",-,-,671,-,"75,300","385,434",17,"656,145","1,476","7,624","12,389",-,-,105,196,-,520,"1,916","4,819","218,572",-,79,121,32,-,33,-,-,-,-,-,-,-,-,45,-,11,"50,516","34,285","3,069","11,803",-,-,-,-,"11,803",297,-,-,-,-,-,-,-,297,"1,062",-,-,-,-,-,-,-,-,-,-,-,-,"1,062",-,61,-,-,5,-,-,56,14,2,-,12,"7,366"
"   Austria 2, 4",-,-,-,-,"2,700","54,529","204,805","268,218","532,416","589,174","31,392","5,307","8,393","81,354","17,571","14,239","15,374","18,234","21,151","3,319",,1850 to 1859,"2,814,554","2,619,680",-,-,-,"5,765",-,-,"3,227",-,"81,778","976,072",32,"1,029,486","8,643","11,122","22,202",-,-,"1,087","1,299",-,423,"8,795","24,423","445,322",-,4,"36,080","35,933",-,42,-,-,-,-,-,-,-,-,94,-,11,"84,145","64,171","3,446","12,447",-,-,-,-,"12,447",512,-,-,-,-,-,-,-,512,"3,569",-,-,-,-,-,-,-,-,-,-,-,-,"3,569",-,84,-,-,7,-,-,77,166,15,-,151,"74,399"
   Hungary 2,-,-,-,-,483,"5,598","109,982","203,350","685,567","565,553","29,499","7,224","5,181","31,661","10,019","6,148","5,063","9,295","12,778","1,006",,1860 to 1869,"2,081,261","1,877,726","3,375","2,700",483,"5,785",-,-,"13,553",-,"35,938","723,734",51,"427,419","9,853","8,387","82,937",-,-,"1,886","2,083",-,"1,670","6,966","21,124","532,956",-,9,"54,408","54,028",-,50,-,-,138,-,-,-,-,-,129,-,63,"130,292","117,978","1,957","8,751",-,-,-,-,"8,751",70,-,-,-,-,-,-,-,70,"1,536",-,-,-,-,-,-,-,-,-,-,-,-,"1,536",-,407,4,-,43,-,35,325,187,-,-,187,"18,241"
Belgium,28,20,"3,996","5,765","5,785","6,991","18,738","19,642","37,429","32,574","21,511","4,013","12,473","18,885","9,647","5,413","7,028","7,077","8,157",732,,1870 to 1879,"2,742,137","2,251,878","60,127","54,529","5,598","6,991",-,-,"29,278",-,"71,901","751,769",209,"422,264","46,296","14,267","178,823","88,644","90,179","11,016","13,971",-,"35,177","5,540","25,212","578,447",-,590,"134,128","133,139",-,166,-,-,193,-,-,-,-,-,382,-,248,"345,010","324,310","5,133","14,285",-,-,-,-,"14,285",173,-,-,-,-,-,-,-,173,"1,109",-,-,-,-,-,-,-,-,-,-,-,-,"1,109",-,371,29,-,52,-,48,242,"9,996","8,930",39,"1,027",754
Bulgaria 5 ,-,-,-,-,-,-,-,52,"34,651","27,180","2,824","1,062",449,97,598,"1,011","1,124","16,948","40,003","2,465",,1880 to 1889,"5,248,568","4,638,677","314,787","204,805","109,982","18,738",-,-,"85,342",-,"48,193","1,445,181","1,807","674,061","267,660","52,715","586,441","185,111","401,330","42,910","15,186","5,842","182,698","3,995","81,151","810,900",-,"1,070","71,151","65,797",-,247,-,-,"1,583",-,-,-,-,-,"2,478",-,"1,046","524,826","492,865","2,405","27,323",-,-,-,-,"27,323",279,-,-,-,-,-,-,-,279,"1,954",-,-,-,-,-,-,-,-,-,-,-,-,"1,954",-,763,145,-,21,-,23,574,"12,361","7,250",21,"5,090",790
Czechoslovakia 6,-,-,-,-,-,-,-,-,-,-,"101,182","17,757","8,475","1,624","2,758","5,654","5,678","8,970","18,691","1,510",,1890 to 1899,"3,694,294","3,576,411","534,059","268,218","203,350","19,642",52,-,"56,671",-,"35,616","579,072","12,732","405,710","603,761","29,349","334,058","96,810","237,248","107,793","25,874","6,808","450,101","9,189","37,020","328,759",-,145,"61,285","15,268",-,102,-,-,"13,998",-,-,-,-,-,"27,510",-,"4,407","37,350","3,098",734,"31,480",-,-,-,-,"31,480",649,-,-,-,-,-,-,-,649,"1,389",-,-,-,-,-,-,-,-,-,-,-,-,"1,389",-,432,51,-,9,-,9,363,"4,704","3,098",12,"1,594","14,112"
Denmark,173,927,671,"3,227","13,553","29,278","85,342","56,671","61,227","45,830","34,406","3,470","4,549","10,918","9,797","4,405","4,847","6,189","6,049",545,,1900 to 1909,"8,202,388","7,572,569","2,001,376","532,416","685,567","37,429","34,651",-,"61,227",-,"67,735","328,722","145,402","344,940","1,930,475","42,463","426,981","182,542","244,439",-,"65,154","57,322","1,501,301","24,818","32,541","469,518",-,514,"299,836","19,884",-,"3,026",-,-,"139,712",-,-,-,-,-,"127,999",-,"9,215","277,809","123,067","31,188","100,960",-,-,-,-,"100,960","7,341",77,-,-,-,-,-,-,"7,264","15,253",-,-,-,-,-,-,-,-,-,-,-,-,"15,253",-,"6,326",-,-,-,-,-,"6,326","12,355","11,191",-,"1,164","33,493"
Finland  ,-,-,-,-,-,-,-,-,-,-,"16,922","2,438","2,230","4,923","4,310","2,829","2,569","3,970","3,970",414,,1910 to 1919,"6,347,380","4,985,411","1,154,727","589,174","565,553","32,574","27,180",-,"45,830",-,"60,335","174,227","198,108","166,445","1,229,916","46,065","192,445","79,488","112,957",-,"82,489","13,566","1,106,998","53,262","22,839","371,878",-,"6,527","269,736","20,916",-,"3,478",-,-,"77,125",-,-,-,-,-,"160,717",-,"7,500","1,070,539","708,715","185,334","120,860",-,-,-,-,"120,860","15,692",40,-,-,-,-,-,-,"15,652","39,938",-,-,-,-,-,-,-,-,-,-,-,-,"39,938",-,"8,867",-,-,-,-,-,"8,867","12,339","11,280",-,"1,059",488
