Country,Continent,Region,yr_1990,yr_1980,yr_1970,yr_1960
British Isles,Europe,Northern Europe,"809,972","866,966","937,474","1,171,777"
United Kingdom,Europe,Northern Europe,"640,145","669,149","686,099","833,055"
Great Britain (total),Europe,Northern Europe,"623,614","649,318","645,262","764,893"
England,Europe,Northern Europe,"405,588","442,499","458,114","528,205"
Scotland,Europe,Northern Europe,"104,168","142,001","170,134","213,219"
Wales,Europe,Northern Europe,"10,638","13,528","17,014","23,469"
Great Britain n.e.c.,Europe,Northern Europe,"103,220","51,290",0,0
Northern Ireland,Europe,Northern Europe,"16,531","19,831","40,837","68,162"
Ireland,Europe,Northern Europe,"169,827","197,817","251,375","338,722"
Scandinavia,Europe,Northern Europe,"158,299","216,533","334,117","522,653"
Denmark,Europe,Northern Europe,"34,999","42,732","61,410","85,060"
Finland,Europe,Northern Europe,"22,313","29,172","45,499","67,624"
Iceland,Europe,Northern Europe,"5,071","4,156","2,895","2,780"
Norway,Europe,Northern Europe,"42,240","63,316","97,243","152,698"
Sweden,Europe,Northern Europe,"53,676","77,157","127,070","214,491"
Low countries,Europe,Western Europe,"132,617","142,748","155,513","173,069"
Belgium,Europe,Western Europe,"34,366","36,487","41,412","50,294"
Luxembourg,Europe,Western Europe,"2,053","3,125","3,531","4,360"
Netherlands,Europe,Western Europe,"96,198","103,136","110,570","118,415"
Austria,Europe,Western Europe,"87,673","145,607","214,014","304,507"
France,Europe,Western Europe,"119,233","120,215","105,385","111,582"
Germany,Europe,Western Europe,"711,929","849,384","832,965","989,815"
Switzerland,Europe,Western Europe,"39,130","42,804","49,732","61,568"
Greece,Europe,Southern Europe,"177,398","210,998","177,275","159,167"
Italy,Europe,Southern Europe,"580,592","831,922","1,008,533","1,256,999"
Malta,Europe,Southern Europe,"9,614","10,182",0,0
Portugal (total),Europe,Southern Europe,"210,122","209,968","119,899","80,276"
Azores,Europe,Southern Europe,"29,656","32,531","28,865","22,586"
Portugal,Europe,Southern Europe,"180,466","177,437","91,034","57,690"
Spain,Europe,Southern Europe,"76,415","73,735","57,488","44,999"
Albania,Europe,Eastern Europe,"5,627","7,381","9,180","9,618"
Bulgaria,Europe,Eastern Europe,"8,579","8,463","8,609","8,223"
Czechoslovakia,Europe,Eastern Europe,"87,020","112,707","160,899","227,618"
Estonia,Europe,Eastern Europe,"9,210","12,169","12,163","13,991"
Hungary,Europe,Eastern Europe,"110,337","144,368","183,236","245,252"
Latvia,Europe,Eastern Europe,"26,179","34,349","41,707","50,681"
Lithuania,Europe,Eastern Europe,"29,745","48,194","76,001","121,475"
Poland,Europe,Eastern Europe,"388,328","418,128","548,107","747,750"
Romania,Europe,Eastern Europe,"91,106","66,994","70,687","84,575"
Soviet Union,Europe,Eastern Europe,"333,725","406,022","463,462","690,598"
Yugoslavia,Europe,Eastern Europe,"141,516","152,967","153,745","165,798"
Europe n.e.c.,Europe,Eastern Europe,"6,037","16,768","20,700","14,320"
China 1/,Asia,Eastern Asia,"529,837","286,120","172,132","99,735"
Hong Kong,Asia,Eastern Asia,"147,131","80,380",0,0
Japan,Asia,Eastern Asia,"290,128","221,794","120,235","109,175"
