startDate,endDate,title,description,source,type,region,
1830,,Indian Removal Act,"Congress passes the Removal Act, forcing Native Americans to settle in Indian Territory west of the Mississippi River.",http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/presentations/immigration/timeline.html#1880,US Law,United States,
1838,,Trail of Tears,"Cherokee Indians forced on thousand-mile march to the established Indian Territory. Approximately 4,000 Cherokees die on this “Trail of Tears.”",http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/presentations/immigration/timeline.html#1880,US Law,United States,
1845,1852,Irish Potato Famine," The Great Irish Famine was a period of mass starvation, disease and emigration between 1845 and 1852. During the famine approximately 1 million people died and a million more emigrated from Ireland, causing the island's population to fall by between 20% and 25%.",http://en.wikipedia.org/wiki/Great_Famine_(Ireland),Famine,Ireland,
1846,1848,Mexican-American War,The Mexican-American War ends: U.S. acquires additional territory and people under its jurisdiction.,http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/presentations/immigration/timeline.html#1880,War,"US, Mexico",
1849,,Gold Rush,"In addition to massive emigration from the eastern US, the California gold rush triggered a global emigration of ambitious fortune-seekers from China, Germany, Chile, Mexico, Ireland, Turkey, and France. The number of Chinese gold-seekers was particularly large, though many Chinese did not intend to settle in the United States, which they called ""the Gold Mountain."" ",http://ocp.hul.harvard.edu/immigration/goldrush.html,Economic,China/Germany/Chile/Mexico/Ireland/Turkey/France,
1850,,Compromise of 1820,"The Compromise of 1820 admits Maine as a free state, Missouri as a slave state and prohibits slavery in territories north of Missouri.",http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/presentations/immigration/timeline.html#1880,US Law,United States,
1861,1865,American Civil War,"A civil war fought from 1861 to 1865 in the United States of America after seven Southern slave states declared their secession and formed the Confederate States of America (the ""Confederacy"" or the ""South""). The states that remained in the Union were known as the ""Union"" or the ""North"".",http://en.wikipedia.org/wiki/American_Civil_War,War,United States,
1862,,Homestead Act of 1862,"Passed on May 20, 1862, the Homestead Act accelerated the settlement of the western territory by granting adult heads of families 160 acres of surveyed public land for a minimal filing fee and 5 years of continuous residence on that land.",http://www.ourdocuments.gov/doc.php?flash=true&doc=31,US Law,,
1867,,Burlingame-Seward Treaty,"The [new] treaty established some basic principles that aimed to ease immigration restrictions, and represented a Chinese effort to limit American interference in internal Chinese affairs.",http://history.state.gov/milestones/1866-1898/burlingame-seward-treaty,International Law,"Chinese, United States",
1868,,14th Amendment,The 14th Amendment of the Constitution endows African Americans with citizenship. A clause in the 14th Amendment “excluding Indians not taxed” prevents Native-American men from receiving the right to vote.,http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/presentations/immigration/timeline.html#1880,US Law,United States,
