date,China,Hong Kong,India,Iran,Israel,Japan,Jordan,Korea 15,Philippines,Syria,Taiwan,Turkey,Vietnam,Other Asia
1830,3,0,9,0,0,0,0,0,0,0,0,19,0,3
1840,8,0,38,0,0,0,0,0,0,0,0,8,0,1
1850,32,0,33,0,0,0,0,0,0,0,0,45,0,11
1860,35933,0,42,0,0,0,0,0,0,0,0,94,0,11
1870,54028,0,50,0,0,138,0,0,0,0,0,129,0,63
1880,133139,0,166,0,0,193,0,0,0,0,0,382,0,248
1890,65797,0,247,0,0,1583,0,0,0,0,0,2478,0,1046
1900,15268,0,102,0,0,13998,0,0,0,0,0,27510,0,4407
1910,19884,0,3026,0,0,139712,0,0,0,0,0,127999,0,9215
1920,20916,0,3478,0,0,77125,0,0,0,0,0,160717,0,7500
1930,30648,0,2076,208,0,42057,0,0,0,5307,0,40450,0,5994
1940,5874,0,554,198,0,2683,0,0,391,2188,0,1327,0,6016
1950,16072,0,1692,1144,98,1557,0,83,4099,1179,0,754,0,7854
1960,8836,13781,1850,3195,21376,40651,4899,4845,17245,1091,721,2980,290,14084
1970,14060,67047,18638,9059,30911,40956,9230,27048,70660,2432,15657,9464,2949,40494
1980,17627,117350,147997,33763,36306,49392,25541,241192,337726,8086,83155,12209,121716,174484
1990,170897,112132,231649,98141,43669,44150,28928,322708,502056,14534,119051,19208,200632,483601
2000,342058,116894,352528,76899,41340,66582,42755,179770,534338,22906,132647,38687,275379,637116
2010,591711,57583,590464,76755,54081,84552,53550,209758,545463,30807,92657,48394,289616,745444
