date,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Panama 20,Other Central America 
1830,0,0,0,0,0,0,0,57
1840,0,0,0,0,0,0,0,94
1850,0,0,0,0,0,0,0,297
1860,0,0,0,0,0,0,0,512
1870,0,0,0,0,0,0,0,70
1880,0,0,0,0,0,0,0,173
1890,0,0,0,0,0,0,0,279
1900,0,0,0,0,0,0,0,649
1910,77,0,0,0,0,0,0,7264
1920,40,0,0,0,0,0,0,15652
1930,285,0,0,0,0,0,0,16226
1940,193,431,597,423,679,405,1452,2660
1950,433,1965,4885,1303,1874,4393,5282,0
1960,1133,4044,5094,4197,5320,7812,12601,0
1970,4185,17975,14405,14357,15078,10383,22177,0
1980,6747,12405,29428,23837,15651,10911,21395,0
1990,14964,25017,137418,58847,39071,31102,32957,0
2000,12600,17054,273017,126043,72880,80446,28149,0
2010,9682,21571,251237,156992,63513,70015,18120,0
