date,"Austria0Hungary 2, 3, 4","Austria 2, 4",Hungary 2,Belgium,Bulgaria 5,Czechoslovakia 6,Denmark,Finland,France 7,"Germany 3, 4",Greece,Ireland 8,Italy,Netherlands,Norway0Sweden 9,Norway 9,Sweden 9,Poland 3,Portugal 10,Romania,"Russia 3, 11",Spain 12,Switzerland,"United Kingdom 8,13",Yugoslavia 14,Other Europe
1820,0,0,0,28,0,0,173,0,7694,5753,17,51617,430,1105,91,0,0,19,177,0,86,2595,3148,26336,0,3
1830,0,0,0,20,0,0,927,0,39330,124726,49,170672,2225,1377,1149,0,0,366,820,0,280,2010,4430,74350,0,40
1840,0,0,0,3996,0,0,671,0,75300,385434,17,656145,1476,7624,12389,0,0,105,196,0,520,1916,4819,218572,0,79
1850,0,0,0,5765,0,0,3227,0,81778,976072,32,1029486,8643,11122,22202,0,0,1087,1299,0,423,8795,24423,445322,0,4
1860,3375,2700,483,5785,0,0,13553,0,35938,723734,51,427419,9853,8387,82937,0,0,1886,2083,0,1670,6966,21124,532956,0,9
1870,60127,54529,5598,6991,0,0,29278,0,71901,751769,209,422264,46296,14267,178823,88644,90179,11016,13971,0,35177,5540,25212,578447,0,590
1880,314787,204805,109982,18738,0,0,85342,0,48193,1445181,1807,674061,267660,52715,586441,185111,401330,42910,15186,5842,182698,3995,81151,810900,0,1070
1890,534059,268218,203350,19642,52,0,56671,0,35616,579072,12732,405710,603761,29349,334058,96810,237248,107793,25874,6808,450101,9189,37020,328759,0,145
1900,2001376,532416,685567,37429,34651,0,61227,0,67735,328722,145402,344940,1930475,42463,426981,182542,244439,0,65154,57322,1501301,24818,32541,469518,0,514
1910,1154727,589174,565553,32574,27180,0,45830,0,60335,174227,198108,166445,1229916,46065,192445,79488,112957,0,82489,13566,1106998,53262,22839,371878,0,6527
1920,60891,31392,29499,21511,2824,101182,34406,16922,54842,386634,60774,202854,528133,29397,170329,70327,100002,223316,44829,67810,61604,47109,31772,341552,49215,22434
1930,12531,5307,7224,4013,1062,17757,3470,2438,13761,119107,10599,28195,85053,7791,13452,6901,6551,25555,3518,5264,2463,3669,5990,61813,6920,9978
1940,13574,8393,5181,12473,449,8475,4549,2230,36954,119506,8605,15701,50509,13877,17326,8326,9000,7577,6765,1254,605,2774,9904,131794,2039,5584
1950,113015,81354,31661,18885,97,1624,10918,4923,50113,576905,45153,47189,184576,46703,44224,22806,21418,6465,13928,914,453,6880,17577,195709,6966,11756
1960,27590,17571,10019,9647,598,2758,9797,4310,46975,209616,74173,37788,200111,37918,36150,17371,18779,55742,70568,2339,2329,40793,19193,220213,17990,6845
1970,20387,14239,6148,5413,1011,5654,4405,2829,26281,77142,102370,11461,150031,10373,10298,3927,6371,33696,104754,10774,28132,41718,8536,133218,31862,5245
1980,20437,15374,5063,7028,1124,5678,4847,2569,32066,85752,37729,22210,55562,11234,13941,3835,10106,63483,42685,24753,33311,22783,8316,153644,16267,3447
1990,27529,18234,9295,7077,16948,8970,6189,3970,35945,92207,25403,65384,75992,13345,17825,5211,12614,172249,25497,48136,433427,18443,11768,156182,57039,29087
2000,33929,21151,12778,8157,40003,18691,6049,3970,44932,122373,16841,15642,28329,17351,19382,4599,14783,117921,11479,52154,167152,17695,12173,171979,131831,290871
2010,4325,3319,1006,732,2465,1510,545,414,4289,7929,966,1610,2956,1520,1662,363,1299,7391,759,3735,7502,2040,868,14781,4772,22608
