date,Argentina ,Bolivia ,Brazil ,Chile ,Colombia ,Ecuador ,Guyana ,Paraguay ,Peru ,Suriname ,Uruguay ,Venezuela ,Other South America 
1820,0,0,0,0,0,0,0,0,0,0,0,0,405
1830,0,0,0,0,0,0,0,0,0,0,0,0,957
1840,0,0,0,0,0,0,0,0,0,0,0,0,1062
1850,0,0,0,0,0,0,0,0,0,0,0,0,3569
1860,0,0,0,0,0,0,0,0,0,0,0,0,1536
1870,0,0,0,0,0,0,0,0,0,0,0,0,1109
1880,0,0,0,0,0,0,0,0,0,0,0,0,1954
1890,0,0,0,0,0,0,0,0,0,0,0,0,1389
1900,0,0,0,0,0,0,0,0,0,0,0,0,15253
1910,0,0,0,0,0,0,0,0,0,0,0,0,39938
1920,0,0,4627,0,0,0,0,0,0,0,0,0,38398
1930,1067,50,1468,347,1027,244,131,33,321,25,112,1155,4010
1940,3108,893,3653,1320,3454,2207,596,85,1273,130,754,2182,7
1950,16346,2759,11547,4669,15567,8574,1131,576,5980,299,1026,9927,17
1960,49384,6205,29238,12384,68371,34107,4546,1249,19783,612,4089,20758,28
1970,30303,5635,18600,15032,71265,47464,38278,1486,25311,714,8416,11007,97
1980,23442,9798,22944,19749,105494,48015,85886,3518,49958,1357,7235,22405,61
1990,30065,18111,50744,18200,137985,81358,74407,6082,110117,2285,6062,35180,28
2000,47955,21921,115404,19792,236570,107977,70373,4623,137614,2363,9827,82087,87
2010,4312,2211,12057,1940,21861,11463,6441,449,14063,202,1286,9497,7
